% 1. Title: Fire Detection 
% 2. Relevant Information:
%
%	 This data is about texture and distribution of colors in images from 
%	 fire in coniferous forest taken in day.
%
%      This data set includes WRITE-NUMBER!!! instances of the class "fire" 
%      and WRITE-NUMBER!!! instances of "nofire" class, and WRITE-NUMBER!!! instances of "smoke" class 
%      The instances are described by 12 attributes.
%  
% 
% 3. Number of Instances: WRITE NUMBER!!!!!!!
% 
% 4. Number of Attributes: 11  + the class attribute
% 
% 5. For Each Attribute:
%   1. Average value of red color (numeric)
%   2. Average value of green color (numeric)
%   3. Average value of blue color (numeric)
%   4. Standard Deviation value of red color (numeric)
%   5. Standard Deviation value of green color (numeric)
%   6. Standard Deviation value of blue color (numeric)
%   7. Energy value of the picture converted to gray-scale (numeric)
%   8. Homogeneity value of the picture converted to gray-scale (numeric)
%   9. Contrast value of the picture converted to gray-scale (numeric)
%   10. Dissimilarity value of the picture converted to gray-scale (numeric)
%   11. Correlation value of the picture converted to gray-scale (numeric)
%   12. Class variable (fire, no_fire, smoke)
%
% 6. Missing Attribute Values: None
%
% 7. Class Distribution: (class value 0 as "no_fire", 1 is interpreted as "fire"
%    and value 2 as "smoke" )
%    Class Value  Number of instances
%    0            
%    1            
%    2
%
@relation fire-detection 
@attribute meanr numeric
@attribute meang numeric
@attribute meanb numeric
@attribute std-devr numeric
@attribute std-devg numeric
@attribute std-devb numeric
@attribute energy numeric
@attribute homogeneity numeric
@attribute contrast numeric
@attribute dissimilarity numeric
@attribute correlation numeric
@attribute 'class' {fire, no_fire, smoke}
@data
201.9161,111.3078,67.975,46.9184,39.5306,29.5276,0.1412,0.4958,3.534,1.3946,0.7007,fire
142.8378,149.8844,151.915,46.8912,48.6223,54.3961,0.3008,0.788,0.5125,0.4388,0.9725,smoke
48.5983,43.7883,17.9694,16.1443,10.1601,8.345,0.5468,0.8751,0.2659,0.2523,0.7437,no_fire
153.8922,63.2439,34.1606,55.6349,34.5609,24.5715,0.1532,0.5332,3.3912,1.2925,0.6923,fire
160.4328,161.3344,157.4894,13.3295,12.8224,13.4646,0.4787,0.8929,0.2347,0.2177,0.8366,smoke
155.4183,94.495,69.3133,67.5612,47.2536,31.7169,0.1774,0.6673,1.5363,0.8027,0.9177,fire
158.5894,166.2433,164.1789,46.4818,48.8804,53.9966,0.1883,0.668,1.856,0.8379,0.8994,smoke
57.4128,55.4067,51.655,11.9246,8.2447,6.5702,0.5798,0.9393,0.1213,0.1213,0.86,smoke
51.8578,45.7394,34.9689,24.9015,14.8198,12.4777,0.5815,0.8996,0.2103,0.2024,0.904,no_fire
169.27,171.8633,171.1483,14.9422,15.1713,14.5395,0.5842,0.935,0.1327,0.1304,0.9341,smoke
193.5167,142.3133,76.7989,36.6413,40.709,15.9324,0.3714,0.8164,0.5822,0.4019,0.9444,fire
103.8406,104.6344,16.7228,41.7361,42.5338,19.5204,0.1343,0.4708,4.2506,1.5182,0.6643,no_fire
157.3467,107.4878,51.6222,41.8128,29.7527,26.4662,0.1782,0.5463,2.479,1.1491,0.6574,fire
165.0367,167.9256,166.9894,31.6748,30.153,29.0394,0.336,0.8645,0.2846,0.2732,0.961,smoke
87.6894,91.7806,66.5533,16.2349,15.4006,18.542,0.341,0.7481,0.6752,0.5323,0.6695,no_fire
42.4917,43.3567,39.3033,15.0085,15.0167,14.2312,0.3243,0.7168,0.7432,0.5958,0.6126,no_fire
33.4167,52.4383,54.095,28.5185,35.364,40.6172,0.2177,0.6458,1.8827,0.8895,0.7955,no_fire
158.3611,148.8272,136.4806,31.4895,36.1744,37.3415,0.2915,0.8837,0.2489,0.2353,0.9744,smoke
47.4239,62.3772,46.1,12.2789,11.5641,13.1443,0.4786,0.7955,0.4921,0.4229,0.6055,no_fire
151.4544,82.3044,60.485,52.804,34.2029,26.8409,0.1674,0.5872,2.2914,1.0499,0.783,fire
109.6744,151.8756,41.3283,31.1978,31.2376,24.8303,0.1635,0.4562,3.9357,1.5153,0.4638,no_fire
162.2967,85.385,60.8622,41.6821,19.6049,13.279,0.2811,0.7053,1.0317,0.6599,0.7574,fire
199.5661,71.9567,25.4878,60.3307,29.1758,20.9581,0.1971,0.597,2.0884,1.0057,0.7617,fire
163.3778,123.0467,69.7906,27.68,23.4103,27.836,0.4318,0.9151,0.1712,0.1701,0.9637,smoke
122.4406,129.3589,139.1289,15.3014,16.1977,16.6175,0.4826,0.945,0.11,0.11,0.9445,smoke
65.1867,66.41,52.695,41.9742,36.9266,35.8628,0.204,0.5973,2.0334,0.9915,0.8132,no_fire
117.1406,92.4256,73.4306,22.51,19.9351,15.5061,0.408,0.9323,0.1355,0.1355,0.9575,smoke
